lambdap,lambdad,lambdaf,ARP,AGD,ILS,IPE,HR,NDCG,
0,0,0,0.122652178,0.194998856,0.544621593,0.072040818,0.87745098,0.54932927,
0,0,10,0.123103525,0.196375325,0.538778184,0.068668325,0.876906289,0.550555136,
0,0,100,0.128182484,0.202110582,0.55864117,0.095906349,0.874727708,0.54466229,
0,0,1000,0.154441941,0.242027947,0.631340719,0.276109822,0.864923795,0.516419349,
0,0,10000,0.295852557,0.356733191,0.791040419,0.713878046,0.729030491,0.336715074,
0,0,100000,0.641518722,0.622390414,0.826280701,0.818141598,0.406862787,0.130119229,
0,0,1000000,0.883491238,0.741454466,0.761338552,0.662088938,0.158769053,0.039651897,
0,0,10000000,0.999098921,0.659554936,0.635605147,0.432671697,0,0,
0,0.0001,0,0.156161162,0.368433105,0.651885537,0.369033751,0.983387779,0.852111178,
0,0.0001,10,0.159871432,0.367056674,0.653943047,0.372035878,0.982298399,0.850927004,
0,0.0001,100,0.163812584,0.373480185,0.66140141,0.395521019,0.979847459,0.849093549,
0,0.0001,1000,0.198187593,0.399632932,0.709811902,0.526040622,0.97630719,0.803889235,
0,0.0001,10000,0.30817199,0.469603149,0.815419155,0.779515154,0.886710253,0.513533265,
0,0.0001,100000,0.587174313,0.621243382,0.838446127,0.841960817,0.504357285,0.158165712,
0,0.0001,1000000,0.859065161,0.80385412,0.807189226,0.758842481,0.191448816,0.049967439,
0,0.0001,10000000,0.987768284,0.739848636,0.687155767,0.521042503,0.025871455,0.00423169,
0,0.001,0,0.160494109,0.422344582,0.723065924,0.553379025,0.993736318,0.944975673,
0,0.001,10,0.163383666,0.426015193,0.72105032,0.553781864,0.993736382,0.946485122,
0,0.001,100,0.1685699,0.428538656,0.735368912,0.587880676,0.991557826,0.929937785,
0,0.001,1000,0.211540151,0.459050191,0.772481257,0.703158212,0.988562029,0.876523803,
0,0.001,10000,0.342479941,0.520761649,0.808511041,0.850634962,0.937091412,0.613894544,
0,0.001,100000,0.559164336,0.628125768,0.828368104,0.840923407,0.641612187,0.222637768,
0,0.001,1000000,0.796299434,0.761642575,0.783426559,0.755443254,0.289215698,0.074670382,
0,0.001,10000000,0.945502345,0.821977487,0.738556756,0.641877113,0.059095832,0.01347443,
0,0.01,0,0.148315981,0.345950911,0.830365773,0.729011424,0.998093648,0.997500432,
0,0.01,10,0.148584123,0.343656847,0.83477972,0.739194194,0.997276613,0.988657074,
0,0.01,100,0.155876688,0.346868564,0.843416391,0.785126251,0.992919347,0.971230405,
0,0.01,1000,0.212089174,0.354668487,0.868106116,0.888600788,0.98992373,0.895364724,
0,0.01,10000,0.340937783,0.406744678,0.845521712,0.896809674,0.938180832,0.664691232,
0,0.01,100000,0.499209142,0.538655695,0.831095433,0.885737382,0.82489111,0.387937638,
0,0.01,1000000,0.682342899,0.634319823,0.812105627,0.799560582,0.495097986,0.14383058,
0,0.01,10000000,0.831107638,0.762330772,0.802093362,0.777821752,0.230392172,0.056847229,
0,0.1,0,0.128806163,0.20119293,0.917467614,0.8652476,0.978213607,0.93052122,
0,0.1,10,0.13150246,0.199816422,0.917204458,0.87322664,0.980392111,0.934057028,
0,0.1,100,0.153289166,0.200045878,0.929818487,0.929999515,0.978213607,0.909071627,
0,0.1,1000,0.199469662,0.217481088,0.939776905,0.971632156,0.96786494,0.836850681,
0,0.1,10000,0.322262963,0.249369092,0.901582003,0.924237315,0.926198312,0.666703506,
0,0.1,100000,0.403503472,0.355815558,0.847232283,0.859703079,0.889978202,0.53469771,
0,0.1,1000000,0.538500879,0.523743987,0.830240168,0.889156873,0.793845302,0.350443681,
0,0.1,10000000,0.710207277,0.626519822,0.784443357,0.736986608,0.431100287,0.120123002,
0,1,0,0.12477152,0.068134893,0.984287805,0.99077851,0.919662221,0.717880627,
0,1,10,0.13874066,0.071346637,0.984939734,0.998945667,0.919662349,0.711671275,
0,1,100,0.138085636,0.076852466,0.97688925,0.987281348,0.922113263,0.722799123,
0,1,1000,0.113756493,0.081211283,0.9604414,0.958162318,0.937363822,0.70705275,
0,1,10000,0.211248762,0.11654048,0.96593797,0.990404503,0.917483588,0.588551564,
0,1,100000,0.359925602,0.213810496,0.900696828,0.873435108,0.897058856,0.570809069,
0,1,1000000,0.4232858,0.352145024,0.850109188,0.856909119,0.885620872,0.508354071,
0,1,10000000,0.553767828,0.526955723,0.824564157,0.878890518,0.78758162,0.327937338,
0,10,0,0.138087137,0.023399854,0.987493641,0.960918321,0.836329055,0.576532279,
0,10,10,0.140140194,0.023170436,0.987846503,0.961262767,0.835784198,0.56757459,
0,10,100,0.129646757,0.035558604,0.984772274,0.977759538,0.85294125,0.597281035,
0,10,1000,0.067129519,0.049323241,0.963886495,0.938201545,0.888888886,0.645820045,
0,10,10000,0.020168299,0.047946752,0.939316368,0.892206769,0.881808169,0.554951171,
0,10,100000,0.204356272,0.099793535,0.958156633,0.977465901,0.902233119,0.552529261,
0,10,1000000,0.361156171,0.200045897,0.89659976,0.871264322,0.899237489,0.56380141,
0,10,10000000,0.414262731,0.356503792,0.848793363,0.848861918,0.889161231,0.515948679,
0,100,0,0.142682449,0.002064683,0.980597484,0.948050151,0.83551193,0.573391905,
0,100,10,0.140109486,0.002752924,0.985986419,0.946661739,0.838780008,0.577681817,
0,100,100,0.117835402,0.020417516,0.967487059,0.968332279,0.852396431,0.577860518,
0,100,1000,0.092416448,0.025693957,0.977624923,0.965707587,0.854302796,0.588672952,
0,100,10000,0.048914371,0.036476256,0.949633683,0.912213383,0.841775612,0.558812845,
0,100,100000,0.037876188,0.055746713,0.948102502,0.915080602,0.872821292,0.541504582,
0,100,1000000,0.220775313,0.101169987,0.958760727,0.980696889,0.900871483,0.538380861,
0,100,10000000,0.364383976,0.204634084,0.899853486,0.863147289,0.887254943,0.547684407,
0.1,0,0,0.129192908,0.202110582,0.53703762,0.07139151,0.889705922,0.565133132,
0.1,0,10,0.125603016,0.202110582,0.546092871,0.084045858,0.887799505,0.561453998,
0.1,0,100,0.132746041,0.204634123,0.554538162,0.096988957,0.888344196,0.559808751,
0.1,0,1000,0.15480694,0.248222079,0.623314116,0.271053824,0.869553355,0.522802057,
0.1,0,10000,0.289463095,0.363615481,0.790741358,0.716642616,0.731209124,0.346930225,
0.1,0,100000,0.64812519,0.620784584,0.818660918,0.788541586,0.392429238,0.123765163,
0.1,0,1000000,0.892991958,0.738930945,0.764945152,0.67021154,0.142429177,0.034767952,
0.1,0,10000000,0.998603991,0.662307856,0.658255359,0.476956107,0.000544665,0.000440616,
0.1,0.0001,0,0.159406346,0.365909584,0.653039897,0.37171975,0.982570808,0.856998876,
0.1,0.0001,10,0.162290034,0.370727227,0.648871098,0.366767429,0.983660125,0.853976877,
0.1,0.0001,100,0.164112163,0.370039012,0.658452763,0.391141319,0.982570808,0.851801788,
0.1,0.0001,1000,0.198019675,0.395274183,0.713304819,0.528727649,0.971677579,0.799070867,
0.1,0.0001,10000,0.317991433,0.4709796,0.808092348,0.779163252,0.898420453,0.523731467,
0.1,0.0001,100000,0.594955466,0.631566845,0.834815703,0.856283631,0.520697225,0.165743313,
0.1,0.0001,1000000,0.864395161,0.804542393,0.788797519,0.73234733,0.179738565,0.045212003,
0.1,0.0001,10000000,0.98372679,0.724248655,0.670959076,0.498090613,0.020969512,0.005471213,
0.1,0.001,0,0.161091765,0.429915106,0.722683102,0.550559874,0.992102375,0.941443881,
0.1,0.001,10,0.163117298,0.426932769,0.721271581,0.5560122,0.993191769,0.942584383,
0.1,0.001,100,0.171517143,0.43060338,0.728173745,0.586182305,0.993464088,0.936375887,
0.1,0.001,1000,0.212856705,0.453773808,0.768067255,0.699436988,0.983115344,0.869560258,
0.1,0.001,10000,0.346169647,0.526038032,0.811005152,0.860410994,0.938453138,0.621177371,
0.1,0.001,100000,0.572187562,0.625602189,0.815455026,0.825368938,0.654956458,0.224187198,
0.1,0.001,1000000,0.793332651,0.755219122,0.796363574,0.757312178,0.290577334,0.075146103,
0.1,0.001,10000000,0.959784165,0.805001171,0.738377401,0.658288714,0.071623094,0.01531768,
0.1,0.01,0,0.150763335,0.348703831,0.828601322,0.729324596,0.998093648,0.986466778,
0.1,0.01,10,0.151113139,0.344115606,0.832686451,0.741417075,0.995370325,0.986503097,
0.1,0.01,100,0.16635816,0.346409709,0.839606409,0.78673067,0.993191769,0.969754529,
0.1,0.01,1000,0.213314966,0.358797876,0.865109613,0.88649041,0.984204815,0.891772784,
0.1,0.01,10000,0.332770549,0.405138791,0.850785042,0.890714595,0.942538059,0.665094136,
0.1,0.01,100000,0.497074333,0.525808672,0.83098782,0.889733093,0.830337757,0.390513003,
0.1,0.01,1000000,0.678619081,0.62812571,0.798959297,0.784902917,0.493464043,0.144727382,
0.1,0.01,10000000,0.854975175,0.754301431,0.779873857,0.742798547,0.211328961,0.050046242,
0.1,0.1,0,0.132494868,0.202798798,0.915117117,0.86334993,0.982298399,0.930932008,
0.1,0.1,10,0.131072223,0.196834142,0.919860034,0.876322676,0.979575153,0.931341555,
0.1,0.1,100,0.146462279,0.20256938,0.928466779,0.926040519,0.977124226,0.910016037,
0.1,0.1,1000,0.193660887,0.219545753,0.93597297,0.964019841,0.96786494,0.841310998,
0.1,0.1,10000,0.317505647,0.250974999,0.905290232,0.916974587,0.924836599,0.658505384,
0.1,0.1,100000,0.413125515,0.361092018,0.851323322,0.866648993,0.894607878,0.531608831,
0.1,0.1,1000000,0.545742171,0.528332173,0.836161376,0.88420438,0.786220023,0.335459887,
0.1,0.1,10000000,0.714239782,0.609772867,0.789969792,0.738505729,0.433823482,0.122423882,
0.1,1,0,0.134416629,0.07226427,0.978378554,0.986282024,0.910947753,0.723713946,
0.1,1,10,0.144026026,0.071346637,0.982056873,0.996257526,0.909858437,0.710800212,
0.1,1,100,0.144309226,0.073870138,0.982505459,0.994272674,0.921296292,0.717299436,
0.1,1,1000,0.122086551,0.087405348,0.95728941,0.949356649,0.94362744,0.708476983,
0.1,1,10000,0.216148656,0.113099318,0.961769188,0.995368134,0.922113263,0.607459513,
0.1,1,100000,0.357133994,0.211516412,0.898944363,0.875832268,0.897331073,0.565562936,
0.1,1,1000000,0.42258187,0.352144966,0.851646325,0.856312764,0.885076311,0.501544896,
0.1,1,10000000,0.541515407,0.526496926,0.827411091,0.858693473,0.767973885,0.332026983,
0.1,10,0,0.147856855,0.024088089,0.984951691,0.956829087,0.845315765,0.584520638,
0.1,10,10,0.138791568,0.021564568,0.989616938,0.964450356,0.837690601,0.578700695,
0.1,10,100,0.117271366,0.036476256,0.983510289,0.972996234,0.845860622,0.590392608,
0.1,10,1000,0.069933683,0.043587964,0.957361152,0.928423371,0.895152568,0.644699504,
0.1,10,10000,0.013769784,0.048405596,0.93509974,0.880681341,0.883986801,0.560771999,
0.1,10,100000,0.214170301,0.09772884,0.957307346,0.97039686,0.904411662,0.543856955,
0.1,10,1000000,0.36441564,0.206239933,0.897676371,0.869490636,0.894063252,0.562864736,
0.1,10,10000000,0.425162066,0.354439088,0.840838547,0.845554373,0.891884606,0.523420217,
0.1,100,0,0.144796286,0.002294103,0.98138103,0.952217785,0.836601362,0.573101058,
0.1,100,10,0.141492415,0.002752908,0.98840277,0.95963093,0.836873656,0.579989249,
0.1,100,100,0.140067131,0.018352831,0.987242431,0.974988155,0.835239649,0.572201146,
0.1,100,1000,0.105520654,0.023170436,0.990418374,0.977241411,0.861383488,0.58900437,
0.1,100,10000,0.043741194,0.039917391,0.943706468,0.902055631,0.838507598,0.534802828,
0.1,100,100000,0.017860248,0.049093813,0.939537669,0.893900727,0.873093637,0.540879484,
0.1,100,1000000,0.205620462,0.097499422,0.956966401,0.972607446,0.895424965,0.530470278,
0.1,100,10000000,0.358080544,0.198669409,0.896665585,0.861259259,0.896786511,0.557655187,
1,0,0,0.155036548,0.218169322,0.542037771,0.111719067,0.927015155,0.637018114,
1,0,10,0.15349853,0.216563435,0.538754158,0.112723104,0.927287551,0.636136805,
1,0,100,0.161714852,0.222069255,0.554926934,0.137143305,0.928104536,0.637056972,
1,0,1000,0.181767187,0.266574903,0.641490512,0.320489469,0.91503261,0.588558267,
1,0,10000,0.317911591,0.364762571,0.811776662,0.739404804,0.759531609,0.365897406,
1,0,100000,0.635009338,0.630419794,0.821382247,0.809373329,0.412037025,0.136019416,
1,0,1000000,0.887079756,0.760725038,0.756206846,0.6619964,0.16149235,0.04018934,
1,0,10000000,1,0.661849077,0.639767939,0.454485243,0.00354032,0.002217948,
1,0.0001,0,0.172881647,0.379215423,0.638990394,0.3652684,0.988017519,0.875836962,
1,0.0001,10,0.174488726,0.383115356,0.63841626,0.366780281,0.986383448,0.870485209,
1,0.0001,100,0.181324803,0.388391854,0.651837731,0.395041192,0.983387779,0.865704134,
1,0.0001,1000,0.213774957,0.410874067,0.703675411,0.530693223,0.977941133,0.815439799,
1,0.0001,10000,0.323711676,0.481532462,0.806776511,0.777714391,0.908224366,0.531024983,
1,0.0001,100000,0.595856995,0.623537523,0.836526201,0.843197869,0.518790873,0.164676493,
1,0.0001,1000000,0.870443058,0.7983483,0.78027453,0.710272922,0.175925899,0.043565581,
1,0.0001,10000000,0.984433063,0.711401651,0.676377898,0.521189664,0.033769067,0.006597897,
1,0.001,0,0.169086804,0.43909146,0.715954428,0.548626302,0.996459705,0.951377161,
1,0.001,10,0.170106144,0.429456251,0.719596921,0.552555737,0.995370325,0.947772524,
1,0.001,100,0.174942484,0.43863274,0.726325623,0.579465166,0.996459705,0.940288054,
1,0.001,1000,0.224016357,0.459967863,0.772630777,0.717320799,0.984749505,0.878319552,
1,0.001,10000,0.348709446,0.520532289,0.799688991,0.837731748,0.940359477,0.620410835,
1,0.001,100000,0.564813791,0.63179634,0.824893122,0.849632896,0.654956458,0.232341029,
1,0.001,1000000,0.78791922,0.777013023,0.798684201,0.79529,0.294389948,0.077207151,
1,0.001,10000000,0.955698587,0.800183567,0.748156385,0.63705126,0.066176473,0.014922639,
1,0.01,0,0.152501891,0.342968554,0.830742588,0.733009962,0.997549086,0.988649308,
1,0.01,10,0.151619397,0.350539079,0.829833432,0.739913505,0.995915015,0.989207143,
1,0.01,100,0.160914384,0.348703831,0.840814632,0.78673881,0.99618736,0.97404016,
1,0.01,1000,0.218851323,0.358568458,0.867555839,0.896996292,0.98502185,0.889468807,
1,0.01,10000,0.341962628,0.407203456,0.849732372,0.892612907,0.947984795,0.669648733,
1,0.01,100000,0.490683506,0.53567326,0.826615667,0.901768164,0.837690755,0.411421385,
1,0.01,1000000,0.699581543,0.626061025,0.792858677,0.77742204,0.461328983,0.131805257,
1,0.01,10000000,0.840677022,0.754989704,0.789581042,0.74319843,0.239106742,0.057157484,
1,0.1,0,0.131629389,0.203028197,0.917180567,0.864953193,0.976034807,0.930308267,
1,0.1,10,0.134101128,0.200504695,0.920434231,0.876571715,0.978213607,0.935472757,
1,0.1,100,0.152401759,0.203716431,0.93049434,0.930205326,0.975490283,0.904492079,
1,0.1,1000,0.206150968,0.214039914,0.941146571,0.983338632,0.965413897,0.834619283,
1,0.1,10000,0.31889904,0.252122011,0.904153807,0.92144961,0.935457598,0.655515157,
1,0.1,100000,0.401620472,0.372333114,0.84271061,0.854414023,0.902777848,0.543904406,
1,0.1,1000000,0.538216222,0.522826315,0.83161579,0.871599515,0.781045799,0.34745307,
1,0.1,10000000,0.713597724,0.610231703,0.786829776,0.741101332,0.412037025,0.114257705,
1,1,0,0.129167204,0.067676064,0.98575914,0.98939841,0.921023946,0.714087044,
1,1,10,0.139307652,0.069052514,0.983354763,0.999205031,0.914760393,0.722483827,
1,1,100,0.131580164,0.068593698,0.978557988,0.990239305,0.925925851,0.713008963,
1,1,1000,0.120537614,0.088552409,0.959328945,0.955557976,0.941448807,0.713147476,
1,1,10000,0.211973573,0.117687532,0.964771687,0.992855901,0.913398667,0.596080533,
1,1,100000,0.35993006,0.214728129,0.901845165,0.879554949,0.902233119,0.574524523,
1,1,1000000,0.422836364,0.353521435,0.855211002,0.862072821,0.886437908,0.526082127,
1,1,10000000,0.544608277,0.523055752,0.827482889,0.877894236,0.777777759,0.331031106,
1,10,0,0.132638448,0.024776324,0.993462712,0.973491911,0.842047957,0.587806052,
1,10,10,0.130726559,0.023629272,0.99188972,0.969242021,0.841775612,0.58577243,
1,10,100,0.128125298,0.035099787,0.99382757,0.986761079,0.855936919,0.592092304,
1,10,1000,0.076283292,0.045882067,0.951427987,0.9329196,0.888888886,0.644489947,
1,10,10000,0.022589722,0.052534996,0.934274367,0.893736943,0.88698256,0.572109788,
1,10,100000,0.223925778,0.103922914,0.964436721,0.983482152,0.900599022,0.544784711,
1,10,1000000,0.357469058,0.200963531,0.895295908,0.867676293,0.900599176,0.556848288,
1,10,10000000,0.419470529,0.348245014,0.848685682,0.856761744,0.887254943,0.51265358,
1,100,0,0.142898637,0,0.983599995,0.95183975,0.835784352,0.571591343,
1,100,10,0.144190669,0.003670569,0.978432389,0.942938416,0.838507598,0.573614365,
1,100,100,0.129413964,0.0199587,0.976321072,0.975823353,0.860566401,0.579808422,
1,100,1000,0.102582328,0.023399854,0.99273304,0.983443594,0.858115423,0.589435206,
1,100,10000,0.056525122,0.040146819,0.955297708,0.92189859,0.852124215,0.545161011,
1,100,100000,0.019818677,0.047946771,0.94057837,0.89303087,0.86247274,0.527510966,
1,100,1000000,0.211077522,0.098417055,0.961858911,0.979956285,0.890795212,0.536170545,
1,100,10000000,0.367694262,0.206698788,0.893633205,0.864778527,0.892973858,0.556986418,
10,0,0,0.262476735,0.365221368,0.447190429,0.155057577,0.982026105,0.88501041,
10,0,10,0.263837918,0.364074317,0.453769555,0.165541995,0.977668916,0.881058529,
10,0,100,0.267194744,0.373480185,0.479577776,0.209834502,0.980936866,0.877273892,
10,0,1000,0.295380965,0.395962379,0.609402254,0.442275634,0.970588276,0.826529084,
10,0,10000,0.39756613,0.463867892,0.776422761,0.769036861,0.914487919,0.565412198,
10,0,100000,0.640679447,0.642807923,0.831831129,0.822303362,0.47004354,0.153603183,
10,0,1000000,0.887851904,0.743978025,0.770561366,0.661785791,0.170479266,0.041923923,
10,0,10000000,0.997548975,0.667813676,0.618092755,0.409479679,0.00953158,0.001779585,
10,0.0001,0,0.245514085,0.455379696,0.564042022,0.327241739,0.992374656,0.942020761,
10,0.0001,10,0.245080981,0.457215001,0.56654809,0.329586033,0.988834426,0.94310147,
10,0.0001,100,0.249255927,0.466620715,0.585400255,0.376028376,0.989651461,0.937283151,
10,0.0001,1000,0.285625897,0.476256021,0.670504518,0.564171817,0.986655793,0.876720486,
10,0.0001,10000,0.384492496,0.518008652,0.780370242,0.790405625,0.931917239,0.612161483,
10,0.0001,100000,0.605986207,0.643266817,0.835401823,0.842669846,0.573801707,0.190517946,
10,0.0001,1000000,0.864243989,0.797660065,0.79894734,0.743831458,0.19689545,0.047267777,
10,0.0001,10000000,0.983162855,0.729983893,0.695230171,0.524171442,0.023148132,0.004944571,
10,0.001,0,0.215862135,0.460656078,0.686360231,0.530525713,0.992919347,0.969747117,
10,0.001,10,0.219427051,0.463409056,0.686563613,0.53377585,1,0.977109403,
10,0.001,100,0.225578032,0.462720802,0.695876138,0.568465405,0.997548958,0.953491424,
10,0.001,1000,0.266533396,0.481991317,0.756033413,0.724976599,0.988562029,0.888624554,
10,0.001,10000,0.381979403,0.530396897,0.793049989,0.856547964,0.932734236,0.639057583,
10,0.001,100000,0.56380041,0.642807923,0.833087158,0.856799016,0.687908503,0.247951338,
10,0.001,1000000,0.798201492,0.772883691,0.801782339,0.789145396,0.30174292,0.079077569,
10,0.001,10000000,0.943122609,0.828171542,0.742689713,0.665092565,0.105119816,0.021792774,
10,0.01,0,0.174773519,0.359256712,0.824767461,0.728715817,0.995098031,1,
10,0.01,10,0.178499302,0.364991989,0.820012626,0.732141005,0.990740842,0.988740755,
10,0.01,100,0.188528108,0.35420969,0.83402011,0.790273801,0.998365993,0.972595937,
10,0.01,1000,0.237120518,0.367286092,0.86207721,0.885784808,0.983932508,0.883365901,
10,0.01,10000,0.360557014,0.41454464,0.843912816,0.895873156,0.944716756,0.662885001,
10,0.01,100000,0.500275205,0.53131453,0.822117886,0.888418283,0.834967368,0.401908843,
10,0.01,1000000,0.677873906,0.638908009,0.810293427,0.769755101,0.488289755,0.147582577,
10,0.01,10000000,0.837425424,0.76898372,0.786913526,0.742254629,0.221949896,0.055073481,
10,0.1,0,0.134144529,0.205781155,0.912162463,0.862683743,0.971677528,0.93063059,
10,0.1,10,0.1424906,0.207616441,0.914961574,0.87591581,0.975490155,0.928665058,
